"Visit information","Информация о заключении"
"New Form","Добавление заключения"
"Edit Form '%s'","Редактирование заключения"
"Save Visit","Сохранить заключение"
"Delete Visit","Удалить заключение"
"Customer","Пациент"
"Summary","Выводы"
"Recommendation","Рекомендации"
"Files","Файлы"
"Add Files","Добавить файлы..."
"Delete","Удалить"
"Manage Customer Visits","Заключения по пациентам"
"Add Visit","Добавить заключение"
"Date","Дата визита"
"Visit has been saved successfully.", "Все классно сохранилось."
"Visit has been deleted successfully.", "Кануло в Лету."
"Print Visit", "Печатать"

"Reservation", "Предварительная запись"
"Add Reservation", "Добавить"
"Save Reservation", "Сохранить"
"Delete Reservation", "Удалить"
"Added", "Добавлено"
"Reservation information", "Предварительная запись"
"Manage Reservation", "Предварительная запись"
"-- Please select --", "выберите"
"Employee", "Специалист"
"Status", "Статус"
"When", "На когда"
"Name", "ФИО"
"Phone", "Телефон"
"City", "Город"
"Comment", "Комментарий"
"Date", "Дата"

"Patient", "Пациент"
"Doctor", "Врач"
"Position", "Статус"
"Import Customers", "Импорт"
"Comment", "Комментарий"
"Form information", "Информация о заключении"
"Product", "Услуга"
"Print", "Печать"
"Select product to proceed with form", "Выберите услугу для создания заключения"
"Back to Customer Account", "вернуться в учетную запись"
"Description", "Описание"
"Select patient.", "Описание"
"Form has been saved successfully.", "Заключение сохранено."
"Form has been deleted successfully.", "Заключение удалено."
"You deleted an image.", "Изображение удалено."
"Conclusion", "Выводы"
"Copy", "Скопировать"
